table,title,category,rows,columns,csv_file,description
METADATA,Collection and host metadata,Collection,14,2,METADATA.csv,"Header facts about the collection and the host it came from - uac.log and live_response under UAC, collection_context.json plus what the artifacts and the filesystem copy state under Velociraptor."
COLLECTION_LOG,uac.log entries,Collection,1478,5,COLLECTION_LOG.csv,"Every line UAC logged while collecting, with the host's local stamp normalised to UTC so the collection itself sits on the same timeline as the evidence."
PROCESSES,Process table (merged),Process,145,13,PROCESSES.csv,"Merged from every ps_* output. exe is resolved from the best source the collection has - the /proc/<pid>/exe link, an lsof txt descriptor, the first executable mapping in maps, the journal's _EXE for this boot, or argv[0] as a last resort - and exe_source names which, because argv[0] is attacker-controlled and a symlink target is not. An empty exe on a [bracketed] process is correct: kernel threads have no binary."
PS_RAW,"ps output, every variant",Process,1155,3,PS_RAW.csv,Verbatim ps output so nothing is lost to the merge.
PROC_PID,/proc/<pid> per-process detail,Process,173,20,PROC_PID.csv,Parsed from live_response/process/proc/<pid>/*. A row with no status/cmdline is not a parse gap - it is a PID whose /proc entry resisted collection.
PROC_MAPS,Process memory maps,Process,5776,11,PROC_MAPS.csv,"/proc/<pid>/maps for every captured process, with the process named - a bare pid cannot be triaged and does not survive being sorted by path."
PROC_ENVIRON,Process environment variables,Process,584,7,PROC_ENVIRON.csv,/proc/<pid>/environ - LD_PRELOAD and friends live here.
PROC_FD,Per-process file descriptors,Process,583,9,PROC_FD.csv,ls -l of /proc/<pid>/fd for every captured process.
PROCESS_MASTER,Correlated process view (one row per PID),Process,191,41,PROCESS_MASTER.csv,"Every process artifact joined on PID: ps variants, /proc/<pid>/{status,cmdline,environ,fd,maps}, exe hashes, lsof and ss. Excludes pstree."
PROCESS_TREE,Process tree (one row per PID),Process,199,12,PROCESS_TREE.csv,"Parent/child shape rebuilt from PID/PPID rather than copied out of pstree's drawing: one row per process, depth as leading '*' markers the way Volatility's pstree writes them, children ordered by PID under their parent. `children` is the direct child count - what pstree's '-+-' was announcing - and `cmdline` is truncated, with the full row for any PID here in PROCESS_MASTER. Read top to bottom: sorting the table by any other column breaks the tree order, and `depth` is there to sort it back. PIDs that only the pstree capture holds are grafted in and say so in `note` - pstree ran after ps, so the processes that started between them are in no ps output; where even the pstree capture that carries PIDs was cut short, the `pstree -a` drawing is matched against the tree and what it alone shows is grafted in with an empty pid. `start_utc` is the true start where ps captured lstart; `elapsed` is what ps itself measured. pstree's own output is kept verbatim in PROCESS_TREE_RAW."
PROCESS_TREE_RAW,"pstree output, verbatim",Process,31,3,PROCESS_TREE_RAW.csv,"Every pstree artifact exactly as the host drew it, '-+-' branches and 'N*[...]' collapsed children included. PROCESS_TREE is the same shape rebuilt from PID/PPID a row at a time; this is what to read when a collection carried no ps output with a PPID in it, and what to check the rebuild against."
PROCESS_HASHES,Running process binary hashes,Process,53,8,PROCESS_HASHES.csv,"hash_running_processes.* keyed by /proc/<pid>/exe, with the exe link resolved to the real binary path."
OPEN_FILES,Open files (lsof),Process,13655,10,OPEN_FILES.csv,"lsof output, one row per descriptor."
SOCKETS,"Sockets (ss, merged)",Network,404,14,SOCKETS.csv,"Every ss_* variant merged; source keeps the originating file. exe/user/container are joined from the process table, because 'which binary holds this port' is the question and ss only gives a truncated name."
NETSTAT,Sockets (netstat),Network,430,15,NETSTAT.csv,"netstat output, merged across every variant UAC ran; compare with SOCKETS (ss) and PROC_NET. For unix rows local_addr is the socket path and recv_q is RefCnt."
INTERFACES,Network interfaces,Network,6,8,INTERFACES.csv,"Parsed from ip addr show / ip link show / ifconfig. Each command contributes its own row, so source says which tool the row came from and promiscuous-mode disagreements between them stay visible."
ROUTES,Routing table,Network,12,9,ROUTES.csv,"ip route show / netstat -rn / route -n, with the originating command kept - a route present in one and not another is worth a second look."
ARP_NEIGHBORS,ARP / neighbour cache,Network,4,6,ARP_NEIGHBORS.csv,ip neighbor / arp -a / /proc/net/arp - who this host was talking to on the LAN.
NETWORK_CONFIG,Network configuration,Network,32,3,NETWORK_CONFIG.csv,"nmcli / hostname output plus the saved NetworkManager, netplan and ifcfg connection profiles, as key-value pairs."
FIREWALL,Firewall rules,Network,148,15,FIREWALL.csv,"iptables / nftables / ufw / firewalld rules, one row per rule, with NAT and redirect rules kept intact."
KERNEL_MODULES,Loaded kernel modules,Kernel,82,5,KERNEL_MODULES.csv,"lsmod and /proc/modules joined with every modinfo/* capture. source names which listing the module came from: one that appears in /proc/modules but not lsmod (or the reverse) is hiding from one of them. The modinfo columns - license, signer, vermagic and the rest - are dropped when this collection's profile captured no modinfo, so the columns present are the ones the host actually answered."
SYSCTL,Kernel parameters (sysctl -a),Kernel,973,3,SYSCTL.csv,Every runtime kernel tunable.
SERVICES,Services and systemd units,System,541,7,SERVICES.csv,systemctl list-units / list-unit-files / service --status-all.
SYSTEMD_TIMERS,systemd timers,Persistence,10,3,SYSTEMD_TIMERS.csv,Timers are cron for systemd - a common persistence spot.
DMESG,Kernel ring buffer,Kernel,100945,6,DMESG.csv,"dmesg and kern.log - module loads, taint events and iptables LOG output all land here. Rotations are expanded; kern.log lines carry a real clock, dmesg lines only an offset from boot."
SYSTEM_INFO,System state snapshots,System,12,3,SYSTEM_INFO.csv,"Uptime, clock, memory, boots, kernel taint, core_pattern, eBPF and binfmt_misc state."
ENV_VARS,Collector environment,System,22,3,ENV_VARS.csv,Environment of the collecting shell.
HARDWARE,Hardware inventory,System,5656,3,HARDWARE.csv,lscpu / lspci / lsusb / dmidecode.
STORAGE,"Block devices, joined",System,7,27,STORAGE.csv,"One row per disk, partition, LVM volume or loop device, merged from lsblk (-f/-l/-J), blkid, blkid.tab, fdisk, df, findmnt, mount, /proc/partitions, /etc/fstab and the /dev/disk/by-* symlinks; `sources` names which of them spoke for the row. A disk's `uuid` is the partition table's identifier. Pseudo-filesystems (tmpfs, sysfs) are mounts rather than devices and stay in MOUNTS; LVM and mdadm detail stays in STORAGE_RAW."
STORAGE_RAW,"Storage artifacts, verbatim",System,98,3,STORAGE_RAW.csv,"Every live_response/storage artifact as collected - the LVM (pvs/vgs/lvs/*display), mdadm and lxc output that has no device row of its own, and what the tools actually printed behind the STORAGE join. The -J artifacts are JSON documents, so each device or filesystem is one row rather than one row per line of pretty-printed JSON; nested children are flattened and carry _parent."
MOUNTS,Mounted filesystems,System,39,5,MOUNTS.csv,Parsed mount table plus /etc/fstab.
DEVICE_PROFILE,Device profile,System,52,4,DEVICE_PROFILE.csv,"Hostname, hosts file, timezone, distro release, partitions and mount points - the identity of the machine the collection came from."
USERS,Local accounts,Account,33,25,USERS.csv,"/etc/passwd joined with /etc/shadow, /etc/group, the SSH key files, lastlog/wtmp/btmp and the process table - so 'is this account a problem' is answerable from one row instead of six tables."
GROUPS,Local groups,Account,60,4,GROUPS.csv,/etc/group - check the privileged ones for surprises.
SUDOERS,sudo configuration,Privilege,42,4,SUDOERS.csv,/etc/sudoers and /etc/sudoers.d/* - passwordless rules stand out.
AUTH_LOG,Authentication log entries,Authentication,253452,18,AUTH_LOG.csv,"auth.log / secure - remote logins, account and group changes, and privilege use (sudo/su/pkexec). Compressed rotations are expanded; event_class is one of auth/session/priv."
FAILED_LOGINS,Failed authentication attempts,Authentication,29338,12,FAILED_LOGINS.csv,"btmp, auth.log/secure, the journal, auditd and faillog merged. The same attempt can be recorded by more than one of them; logged_by says which, so a count can be taken from a single source rather than the union."
PRIVILEGE_ACTIVITY,Privilege use and account changes,Privilege,6711,13,PRIVILEGE_ACTIVITY.csv,"sudo/su/pkexec, useradd/usermod/groupadd and password changes, merged from auth.log, the journal and auditd - so the answer is the same whichever of the three the host happens to keep. actor is who elevated where the line names them; target_user/target_group are what changed. The same act can appear once per source, which logged_by makes explicit rather than hiding."
SSH,SSH configuration and keys,Remote Access,27,4,SSH.csv,"authorized_keys, known_hosts, host keys and sshd_config."
CRON,Scheduled jobs (cron/at),Persistence,328,8,CRON.csv,Crontabs split into schedule/command; cron.<period> drop-in scripts listed as scripts with the period the directory implies. running_pids joins the command against the live process table - a scheduled job that is also running right now is a different problem from one that merely would.
SYSTEMD_UNITS,systemd unit files on disk,Persistence,257,18,SYSTEMD_UNITS.csv,"Every unit file copied from the host, all unit types, with the lines that make something run. running_pids joins ExecStart against the live process table."
INIT_AND_PROFILE,init scripts and shell profiles,Persistence,3844,3,INIT_AND_PROFILE.csv,"rc.local, init.d, profile.d and per-user rc files."
